Postal Code,x,y,inseecode,place,population,density
1260,-0.10093527,0.7421656,1217,Lilignod,0,0
1260,-0.10056574,0.74183154,1218,Lochieu,69,10
1680,-0.103239715,0.73978883,1219,Lompnas,137,11
1260,-0.10130453,0.74249977,1221,Lompnieu,97,9
1800,-0.10639007,0.7424978,1223,Loyes,0,0
1360,-0.10713303,0.73965424,1224,Loyettes,2256,106
1090,-0.111722864,0.745488,1225,Lurcy,199,41
1260,-0.10123316,0.7413201,1226,Luthézieu,0,0
1300,-0.10085512,0.73922765,1227,Magnieu,290,47
1430,-0.10218101,0.7455286,1228,Maillat,623,55
1340,-0.10660386,0.749267,1229,Malafretaz,624,68
1560,-0.10719321,0.7510971,1230,Mantenay-Montlin,256,24
1570,-0.10952157,0.7502051,1231,Manziat,1482,117
1851,-0.10537424,0.749415,1232,Marboz,2026,50
1680,-0.10286978,0.7394538,1233,Marchamp,106,8
1300,-0.10082296,0.73951703,1234,Marignieu,138,39
1240,-0.108120166,0.7450487,1235,Marlieux,633,38
1340,-0.10756544,0.749675,1236,Marsonnas,728,40
1810,-0.101417616,0.7469078,1237,Martignat,1003,76
1600,-0.11124245,0.7427886,1238,Massieux,1782,575
1300,-0.10031452,0.7385822,1239,Massignieu-de-Rives,412,43
1580,-0.101718955,0.74782085,1240,Matafelon-Granges,406,19
1370,-0.10434667,0.747829,1241,Meillonnas,1051,59
1450,-0.10371455,0.7445314,1242,Mérignat,85,27
1800,-0.10685989,0.74196684,1244,Meximieux,6230,453
1250,-0.10398162,0.7457345,1245,Bohas-Meyriat-Rignat,657,28
1660,-0.10817257,0.74798805,1246,Mézériat,1995,104
1170,-0.096341684,0.7489862,1247,Mijoux,258,12
1390,-0.11007333,0.7423522,1248,Mionnay,1103,56
1600,-0.11130065,0.74396914,1250,Misérieux,1224,165
1280,-0.09532982,0.74712086,1251,Moéns,0,0
1140,-0.11098001,0.74656975,1252,Mogneneins,491,57
1800,-0.10615535,0.7427634,1253,Mollon,0,0
1250,-0.10531415,0.7464758,1254,Montagnat,1173,85
1470,-0.10384379,0.73985785,1255,Montagnieu,356,57
1200,-0.09911537,0.7457723,1257,Montanges,248,18
1090,-0.111251235,0.7460167,1258,Montceaux,672,67
1310,-0.10724373,0.74729013,1259,Montcet,420,63
1800,-0.108397454,0.7427362,1260,Le Montellier,170,11
1390,-0.1099678,0.74321926,1261,Monthieux,344,32
1120,-0.10877177,0.7413152,1262,Montluel,5954,148
1090,-0.11168703,0.7457771,1263,Montmerle-sur-Saéne,2596,624
1310,-0.107278205,0.747001,1264,Montracol,551,38
1340,-0.10676871,0.7495798,1266,Montrevel-en-Bresse,1973,192
1300,-0.101750635,0.73669183,1268,Murs-et-Gélignieux,188,29
1460,-0.10134804,0.7457276,1269,Nantua,3602,282
1580,-0.102649264,0.74675417,1270,Napt,0,0
1300,-0.10034648,0.7382928,1271,Nattages,322,31
1400,-0.10871136,0.74687976,1272,Neuville-les-Dames,1141,43
1160,-0.10448223,0.74491316,1273,Neuville-sur-Ain,1151,58
1130,-0.10118049,0.7454157,1274,Les Neyrolles,615,65
1120,-0.10860539,0.741002,1276,Niévroz,1061,101
1230,-0.103880785,0.74308527,1277,Nivollet-Montgriffon,66,8
1200,-0.09941114,0.744926,1278,Ochiaz,0,0
1230,-0.10354575,0.7424607,1279,Oncieu,68,9
1510,-0.10297265,0.7403444,1280,Ordonnaz,115,8
1210,-0.095299125,0.74741054,1281,Ornex,2263,401
1430,-0.10231223,0.74437124,1282,Outriaz,275,47
1100,-0.10055373,0.7473968,1283,Oyonnax,23869,663
1190,-0.10925199,0.75075907,1284,Ozan,408,62
1600,-0.11144314,0.74281335,1285,Parcieux,784,250
1300,-0.100516155,0.7386045,1286,Parves,286,52
1260,-0.100766666,0.74185383,1287,Passin,0,0
1630,-0.09745228,0.7461766,1288,Péron,1202,46
1960,-0.10627933,0.74688244,1289,Péronnas,5352,305
1800,-0.10706077,0.74199057,1290,Pérouges,851,45
1540,-0.108771175,0.7480603,1291,Perrex,714,64
1260,-0.10117486,0.74365723,1292,Le Petit-Abergement,141,5
1430,-0.10254824,0.7458634,1293,Peyriat,154,26
1140,-0.111015625,0.7462809,1295,Peyzieux-sur-Saéne,245,28
1270,-0.10467522,0.7502128,1296,Pirajoux,304,23
1120,-0.10830054,0.74184495,1297,Pizay,433,39
1130,-0.0998834,0.7461501,1298,Plagne,73,12
1330,-0.10802377,0.74415743,1299,Le Plantay,344,17
1130,-0.10034776,0.7456156,1300,Le Poizat,270,15
1310,-0.10694078,0.7481339,1301,Polliat,2025,101
1350,-0.1004201,0.7394723,1302,Pollieu,108,29
1450,-0.10408176,0.74486685,1303,Poncin,1229,62
1160,-0.10494996,0.7443812,1304,Pont-d'Ain,2258,201
1190,-0.108947486,0.75160235,1305,Pont-de-Vaux,1913,254
1290,-0.10989753,0.748784,1306,Pont-de-Veyle,1421,732
1460,-0.101915404,0.74608475,1307,Port,773,182
1550,-0.09737739,0.7449969,1308,Pougny,600,77
1250,-0.10318243,0.7491603,1309,Pouillat,38,6
1300,-0.10185546,0.73758227,1310,Prémeyzel,190,25
1110,-0.10250467,0.7408772,1311,Prémillieu,40,5
1370,-0.10378025,0.74922925,1312,Pressiat,155,26
1280,-0.095560275,0.7468526,1313,Prévessin-Moens,3723,308
1160,-0.10565247,0.7435838,1314,Priay,948,60
1510,-0.10159622,0.7398962,1316,Pugieu,123,25
1250,-0.104447424,0.7469611,1317,Ramasse,189,19
1390,-0.110734746,0.7436061,1318,Rancé,410,43
1990,-0.10948629,0.745507,1319,Relevant,327,26
1620,-0.10982676,0.74936223,1320,Replonges,2687,162
1250,-0.104714476,0.74640584,1321,Revonnas,438,57
1600,-0.11140752,0.74310225,1322,Reyrieux,3057,195
1190,-0.109146215,0.75162655,1323,Reyssouze,709,74
1250,-0.10434819,0.7460701,1324,Rignat,0,0
